## file created 06.Feb.2017 #
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 4740300D   3  15   b   25       5          4              0      HO   -12    13      4
 4740340D   3  15   b   25       5          3              2      HO   -13    13      4
 4740380D   3  15   b   25       5          2              0      HO   -14    13      4
 47403C0D   3  15   b   25       5          1              2      HO   -15    13      4
 4E24078D   3  17   b   25       9          8              0     HOX   -15    13   -999
 4740040E   3  17   b   25       9          4              1      HO    -1    14      4
 4740080E   3  16   t   25       6          8              2      HO    -2    14      4
 47400C0E   3  17   b   25       9          4              0      HO    -3    14      4
 4740100E   3  17   b   25       9          4              2      HO    -4    14      4
 4E24020E   3  16   b   25       7          4              2     HOX    -4    14   -999
 4740140E   3  16   t   25       6          3              1      HO    -5    14      4
 4740180E   3  16   t   25       6          2              2      HO    -6    14      4
 47401C0E   3  16   t   25       6          1              1      HO    -7    14      4
 4740200E   3  15   t   25       4          8              2      HO    -8    14      4
 4740240E   3  15   t   25       4          7              1      HO    -9    14      4
 4740280E   3  15   t   25       4          6              2      HO   -10    14      4
 47402C0E   3  15   t   25       4          5              1      HO   -11    14      4
 4740300E   3  15   t   25       4          4              2      HO   -12    14      4
 4740340E   3  15   t   25       4          3              1      HO   -13    14      4
 4740380E   3  15   t   25       4          2              2      HO   -14    14      4
 47403C0E   3  15   t   25       4          1              1      HO   -15    14      4
 4E24078E   3  16   b   25       7          8              2     HOX   -15    14   -999
 4740040F   3  17   t   25       8          8              0      HO    -1    15      4
 4740080F   3  16   t   25       6          6              1      HO    -2    15      4
 47400C0F   3  17   t   25       8          8              1      HO    -3    15      4
 4740100F   3  17   t   25       8          8              2      HO    -4    15      4
 4740140F   3  16   t   25       6          3              0      HO    -5    15      4
 4740180F   3  16   t   25       6          2              1      HO    -6    15      4
 47401C0F   3  16   t   25       6          1              0      HO    -7    15      4
 4740200F   3  15   t   25       4          8              1      HO    -8    15      4
 4740240F   3  15   t   25       4          7              0      HO    -9    15      4
 4740280F   3  15   t   25       4          6              1      HO   -10    15      4
 47402C0F   3  15   t   25       4          5              0      HO   -11    15      4
 4740300F   3  15   t   25       4          4              1      HO   -12    15      4
 4740340F   3  15   t   25       4          3              0      HO   -13    15      4
 4740380F   3  15   t   25       4          2              1      HO   -14    15      4
 47403C0F   3  15   t   25       4          1              0      HO   -15    15      4
 4E24078F   3  16   b   25       7          8              1     HOX   -15    15   -999
 47400410   3  17   t   25       8          7              1      HO    -1    16      4
 47400810   3  16   t   25       6          5              2      HO    -2    16      4
 47400C10   3  17   t   25       8          7              0      HO    -3    16      4
 47401010   3  17   t   25       8          7              2      HO    -4    16      4
 4E240210   3  16   t   25       6          6              2     HOX    -4    16   -999
 47401410   3  16   t   25       6          3              2      HO    -5    16      4
 47401810   3  16   t   25       6          2              0      HO    -6    16      4
 47401C10   3  16   t   25       6          1              2      HO    -7    16      4
 47402010   3  15   t   25       4          8              0      HO    -8    16      4
 47402410   3  15   t   25       4          7              2      HO    -9    16      4
 47402810   3  15   t   25       4          6              0      HO   -10    16      4
 47402C10   3  15   t   25       4          5              2      HO   -11    16      4
 47403010   3  15   t   25       4          4              0      HO   -12    16      4
 47403410   3  15   t   25       4          3              2      HO   -13    16      4
 47403810   3  15   t   25       4          2              0      HO   -14    16      4
 47403C10   3  15   t   25       4          1              2      HO   -15    16      4
 4E240790   3  16   b   25       7          8              0     HOX   -15    16   -999
 47400411   7   3   b   26       3          7              0      HO    -1    17      4
 47400811   7   3   b   26       3          7              1      HO    -2    17      4
 47400C11   7   3   b   26       3          5              1      HO    -3    17      4
 47401011   7   4   t   26       4          6              2      HO    -4    17      4
 4E240211   7   4   t   26       4          6              1     HOX    -4    17   -999
