## file created 06.Feb.2017 #
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 4510500E  20   3   u    0       0          6              1      HE   -20    14      1
 4520580D  20   3   u    0       0          6              2      HE   -22    13      2
 45104C0E  20   3   u    0       0          7              0      HE   -19    14      1
 4520500E  20   3   u    0       0          7              1      HE   -20    14      2
 4510580D  20   3   u    0       0          7              2      HE   -22    13      1
 45204C0D  20   3   u    0       0          8              0      HE   -19    13      2
 4510500D  20   3   u    0       0          8              1      HE   -20    13      1
 4520540D  20   3   u    0       0          8              2      HE   -21    13      2
 45104C0D  20   3   u    0       0          9              0      HE   -19    13      1
 4520500D  20   3   u    0       0          9              1      HE   -20    13      2
 4510540D  20   3   u    0       0          9              2      HE   -21    13      1
 43102C10  20   4   u    0       0         14              0      HB   -11    16      1
 43101C10  20   4   u    0       0         14              1      HB    -7    16      1
 43100C10  20   4   u    0       0         14              2      HB    -3    16      1
 43101410  20   4   u    0       0         15              0      HB    -5    16      1
 43100410  20   4   u    0       0         15              1      HB    -1    16      1
 43102410  20   4   u    0       0         15              2      HB    -9    16      1
 43102C0F  20   4   u    0       0         16              0      HB   -11    15      1
 43101C0F  20   4   u    0       0         16              1      HB    -7    15      1
 43100C0F  20   4   u    0       0         16              2      HB    -3    15      1
 4310140F  20   4   u    0       0         17              0      HB    -5    15      1
 4310040F  20   4   u    0       0         17              1      HB    -1    15      1
 4310240F  20   4   u    0       0         17              2      HB    -9    15      1
 43102810  20   4   u    0       0         18              0      HB   -10    16      1
 43101810  20   4   u    0       0         18              1      HB    -6    16      1
 43100810  20   4   u    0       0         18              2      HB    -2    16      1
 43102010  20   4   u    0       0         19              0      HB    -8    16      1
 43101010  20   4   u    0       0         19              1      HB    -4    16      1
 43103010  20   4   u    0       0         19              2      HB   -12    16      1
 4310280F  20   4   u    0       0         20              0      HB   -10    15      1
 4310180F  20   4   u    0       0         20              1      HB    -6    15      1
 4310080F  20   4   u    0       0         20              2      HB    -2    15      1
 4310200F  20   4   u    0       0         21              0      HB    -8    15      1
 4310100F  20   4   u    0       0         21              1      HB    -4    15      1
 4310300F  20   4   u    0       0         21              2      HB   -12    15      1
 43102C12  20   4   u    0       0          2              0      HB   -11    18      1
 43101C12  20   4   u    0       0          2              1      HB    -7    18      1
 43100C12  20   4   u    0       0          2              2      HB    -3    18      1
 43101412  20   4   u    0       0          3              0      HB    -5    18      1
 43100412  20   4   u    0       0          3              1      HB    -1    18      1
 43102412  20   4   u    0       0          3              2      HB    -9    18      1
 43102C11  20   4   u    0       0          4              0      HB   -11    17      1
 43101C11  20   4   u    0       0          4              1      HB    -7    17      1
 43100C11  20   4   u    0       0          4              2      HB    -3    17      1
 43101411  20   4   u    0       0          5              0      HB    -5    17      1
 43100411  20   4   u    0       0          5              1      HB    -1    17      1
 43102411  20   4   u    0       0          5              2      HB    -9    17      1
 43102812  20   4   u    0       0          6              0      HB   -10    18      1
 43101812  20   4   u    0       0          6              1      HB    -6    18      1
 43100812  20   4   u    0       0          6              2      HB    -2    18      1
 43102012  20   4   u    0       0          7              0      HB    -8    18      1
 43101012  20   4   u    0       0          7              1      HB    -4    18      1
