#file created 17.Jun.2016
#Writing HCAL Front End Map... IOV C
#      eta      phi    depth   subdet      rbx       rm
       -29       17        1       HE    HEM05        1
       -28       17        3       HE    HEM05        1
       -24       17        2       HE    HEM05        1
       -24       17        1       HE    HEM05        1
       -27       17        1       HE    HEM05        2
       -27       17        2       HE    HEM05        2
       -29       17        2       HE    HEM05        2
       -27       17        3       HE    HEM05        2
       -23       17        2       HE    HEM05        2
       -23       17        1       HE    HEM05        2
       -19       18        2       HE    HEM05        1
       -20       18        1       HE    HEM05        1
       -22       17        2       HE    HEM05        1
       -19       18        1       HE    HEM05        1
       -20       18        2       HE    HEM05        1
       -22       17        1       HE    HEM05        1
       -19       17        2       HE    HEM05        2
       -20       17        1       HE    HEM05        2
       -21       17        2       HE    HEM05        2
       -19       17        1       HE    HEM05        2
       -20       17        2       HE    HEM05        2
       -21       17        1       HE    HEM05        2
        11       11        1       HB    HBP04        1
         7       11        1       HB    HBP04        1
         3       11        1       HB    HBP04        1
         5       11        1       HB    HBP04        1
         1       11        1       HB    HBP04        1
         9       11        1       HB    HBP04        1
        11       12        1       HB    HBP04        2
         7       12        1       HB    HBP04        2
         3       12        1       HB    HBP04        2
         5       12        1       HB    HBP04        2
         1       12        1       HB    HBP04        2
         9       12        1       HB    HBP04        2
        10       11        1       HB    HBP04        1
         6       11        1       HB    HBP04        1
         2       11        1       HB    HBP04        1
         8       11        1       HB    HBP04        1
         4       11        1       HB    HBP04        1
        12       11        1       HB    HBP04        1
        10       12        1       HB    HBP04        2
         6       12        1       HB    HBP04        2
         2       12        1       HB    HBP04        2
         8       12        1       HB    HBP04        2
         4       12        1       HB    HBP04        2
        12       12        1       HB    HBP04        2
        11       13        1       HB    HBP04        3
         7       13        1       HB    HBP04        3
         3       13        1       HB    HBP04        3
         5       13        1       HB    HBP04        3
         1       13        1       HB    HBP04        3
         9       13        1       HB    HBP04        3
        11       14        1       HB    HBP04        4
         7       14        1       HB    HBP04        4
         3       14        1       HB    HBP04        4
         5       14        1       HB    HBP04        4
         1       14        1       HB    HBP04        4
         9       14        1       HB    HBP04        4
        10       13        1       HB    HBP04        3
         6       13        1       HB    HBP04        3
         2       13        1       HB    HBP04        3
         8       13        1       HB    HBP04        3
         4       13        1       HB    HBP04        3
        12       13        1       HB    HBP04        3
        10       14        1       HB    HBP04        4
         6       14        1       HB    HBP04        4
         2       14        1       HB    HBP04        4
         8       14        1       HB    HBP04        4
         4       14        1       HB    HBP04        4
        12       14        1       HB    HBP04        4
        16       11        2       HB    HBP04        1
        15       11        2       HB    HBP04        1
        14       11        1       HB    HBP04        1
        15       11        1       HB    HBP04        1
        13       11        1       HB    HBP04        1
        16       11        1       HB    HBP04        1
        16       12        2       HB    HBP04        2
        15       12        2       HB    HBP04        2
        14       12        1       HB    HBP04        2
        15       12        1       HB    HBP04        2
        13       12        1       HB    HBP04        2
        16       12        1       HB    HBP04        2
        17       11        1       HE    HEP04        1
        16       11        3       HE    HEP04        1
        26       11        1       HE    HEP04        1
        18       11        1       HE    HEP04        1
        18       11        2       HE    HEP04        1
        26       11        2       HE    HEP04        1
        17       12        1       HE    HEP04        2
        16       12        3       HE    HEP04        2
        25       11        1       HE    HEP04        2
        18       12        1       HE    HEP04        2
        18       12        2       HE    HEP04        2
        25       11        2       HE    HEP04        2
        16       13        2       HB    HBP04        3
        15       13        2       HB    HBP04        3
        14       13        1       HB    HBP04        3
        15       13        1       HB    HBP04        3
        13       13        1       HB    HBP04        3
        16       13        1       HB    HBP04        3
        16       14        2       HB    HBP04        4
        15       14        2       HB    HBP04        4
        14       14        1       HB    HBP04        4
        15       14        1       HB    HBP04        4
        13       14        1       HB    HBP04        4
        16       14        1       HB    HBP04        4
        17       13        1       HE    HEP04        3
        16       13        3       HE    HEP04        3
        25       13        1       HE    HEP04        3
        18       13        1       HE    HEP04        3
        18       13        2       HE    HEP04        3
        25       13        2       HE    HEP04        3
        17       14        1       HE    HEP04        4
        16       14        3       HE    HEP04        4
        26       13        1       HE    HEP04        4
        18       14        1       HE    HEP04        4
        18       14        2       HE    HEP04        4
        26       13        2       HE    HEP04        4
        28       11        1       HE    HEP04        1
        28       11        2       HE    HEP04        1
        29       11        1       HE    HEP04        1
        28       11        3       HE    HEP04        1
        24       11        2       HE    HEP04        1
        24       11        1       HE    HEP04        1
        27       11        1       HE    HEP04        2
        27       11        2       HE    HEP04        2
        29       11        2       HE    HEP04        2
        27       11        3       HE    HEP04        2
        23       11        2       HE    HEP04        2
        23       11        1       HE    HEP04        2
        19       11        2       HE    HEP04        1
        20       11        1       HE    HEP04        1
        22       11        2       HE    HEP04        1
        19       11        1       HE    HEP04        1
        20       11        2       HE    HEP04        1
        22       11        1       HE    HEP04        1
        19       12        2       HE    HEP04        2
        20       12        1       HE    HEP04        2
        21       11        2       HE    HEP04        2
        19       12        1       HE    HEP04        2
        20       12        2       HE    HEP04        2
        21       11        1       HE    HEP04        2
        27       13        1       HE    HEP04        3
        27       13        2       HE    HEP04        3
        29       13        2       HE    HEP04        3
        27       13        3       HE    HEP04        3
        23       13        2       HE    HEP04        3
        23       13        1       HE    HEP04        3
        28       13        1       HE    HEP04        4
        28       13        2       HE    HEP04        4
        29       13        1       HE    HEP04        4
        28       13        3       HE    HEP04        4
        24       13        2       HE    HEP04        4
        24       13        1       HE    HEP04        4
        19       13        2       HE    HEP04        3
        20       13        1       HE    HEP04        3
        21       13        2       HE    HEP04        3
        19       13        1       HE    HEP04        3
        20       13        2       HE    HEP04        3
        21       13        1       HE    HEP04        3
        19       14        2       HE    HEP04        4
        20       14        1       HE    HEP04        4
        22       13        2       HE    HEP04        4
        19       14        1       HE    HEP04        4
        20       14        2       HE    HEP04        4
        22       13        1       HE    HEP04        4
        11       15        1       HB    HBP05        1
         7       15        1       HB    HBP05        1
         3       15        1       HB    HBP05        1
         5       15        1       HB    HBP05        1
         1       15        1       HB    HBP05        1
         9       15        1       HB    HBP05        1
        11       16        1       HB    HBP05        2
         7       16        1       HB    HBP05        2
         3       16        1       HB    HBP05        2
         5       16        1       HB    HBP05        2
         1       16        1       HB    HBP05        2
         9       16        1       HB    HBP05        2
        10       15        1       HB    HBP05        1
         6       15        1       HB    HBP05        1
         2       15        1       HB    HBP05        1
         8       15        1       HB    HBP05        1
         4       15        1       HB    HBP05        1
        12       15        1       HB    HBP05        1
        10       16        1       HB    HBP05        2
         6       16        1       HB    HBP05        2
         2       16        1       HB    HBP05        2
         8       16        1       HB    HBP05        2
         4       16        1       HB    HBP05        2
        12       16        1       HB    HBP05        2
        11       17        1       HB    HBP05        3
         7       17        1       HB    HBP05        3
         3       17        1       HB    HBP05        3
         5       17        1       HB    HBP05        3
         1       17        1       HB    HBP05        3
         9       17        1       HB    HBP05        3
        11       18        1       HB    HBP05        4
         7       18        1       HB    HBP05        4
         3       18        1       HB    HBP05        4
         5       18        1       HB    HBP05        4
         1       18        1       HB    HBP05        4
         9       18        1       HB    HBP05        4
        10       17        1       HB    HBP05        3
         6       17        1       HB    HBP05        3
         2       17        1       HB    HBP05        3
         8       17        1       HB    HBP05        3
         4       17        1       HB    HBP05        3
        12       17        1       HB    HBP05        3
        10       18        1       HB    HBP05        4
         6       18        1       HB    HBP05        4
         2       18        1       HB    HBP05        4
         8       18        1       HB    HBP05        4
         4       18        1       HB    HBP05        4
        12       18        1       HB    HBP05        4
        16       15        2       HB    HBP05        1
        15       15        2       HB    HBP05        1
        14       15        1       HB    HBP05        1
        15       15        1       HB    HBP05        1
        13       15        1       HB    HBP05        1
        16       15        1       HB    HBP05        1
        16       16        2       HB    HBP05        2
        15       16        2       HB    HBP05        2
        14       16        1       HB    HBP05        2
        15       16        1       HB    HBP05        2
        13       16        1       HB    HBP05        2
        16       16        1       HB    HBP05        2
        17       15        1       HE    HEP05        1
        16       15        3       HE    HEP05        1
        26       15        1       HE    HEP05        1
        18       15        1       HE    HEP05        1
        18       15        2       HE    HEP05        1
        26       15        2       HE    HEP05        1
        17       16        1       HE    HEP05        2
        16       16        3       HE    HEP05        2
        25       15        1       HE    HEP05        2
        18       16        1       HE    HEP05        2
        18       16        2       HE    HEP05        2
        25       15        2       HE    HEP05        2
        16       17        2       HB    HBP05        3
        15       17        2       HB    HBP05        3
        14       17        1       HB    HBP05        3
        15       17        1       HB    HBP05        3
        13       17        1       HB    HBP05        3
        16       17        1       HB    HBP05        3
        16       18        2       HB    HBP05        4
        15       18        2       HB    HBP05        4
        14       18        1       HB    HBP05        4
        15       18        1       HB    HBP05        4
        13       18        1       HB    HBP05        4
        16       18        1       HB    HBP05        4
        17       17        1       HE    HEP05        3
        16       17        3       HE    HEP05        3
        25       17        1       HE    HEP05        3
        18       17        1       HE    HEP05        3
        18       17        2       HE    HEP05        3
        25       17        2       HE    HEP05        3
        17       18        1       HE    HEP05        4
        16       18        3       HE    HEP05        4
        26       17        1       HE    HEP05        4
        18       18        1       HE    HEP05        4
        18       18        2       HE    HEP05        4
        26       17        2       HE    HEP05        4
        28       15        1       HE    HEP05        1
        28       15        2       HE    HEP05        1
        29       15        1       HE    HEP05        1
        28       15        3       HE    HEP05        1
        24       15        2       HE    HEP05        1
        24       15        1       HE    HEP05        1
        27       15        1       HE    HEP05        2
        27       15        2       HE    HEP05        2
        29       15        2       HE    HEP05        2
        27       15        3       HE    HEP05        2
        23       15        2       HE    HEP05        2
        23       15        1       HE    HEP05        2
        19       15        2       HE    HEP05        1
        20       15        1       HE    HEP05        1
        22       15        2       HE    HEP05        1
        19       15        1       HE    HEP05        1
        20       15        2       HE    HEP05        1
        22       15        1       HE    HEP05        1
        19       16        2       HE    HEP05        2
        20       16        1       HE    HEP05        2
        21       15        2       HE    HEP05        2
        19       16        1       HE    HEP05        2
        20       16        2       HE    HEP05        2
        21       15        1       HE    HEP05        2
        27       17        1       HE    HEP05        3
        27       17        2       HE    HEP05        3
        29       17        2       HE    HEP05        3
        27       17        3       HE    HEP05        3
        23       17        2       HE    HEP05        3
        23       17        1       HE    HEP05        3
        28       17        1       HE    HEP05        4
        28       17        2       HE    HEP05        4
        29       17        1       HE    HEP05        4
        28       17        3       HE    HEP05        4
        24       17        2       HE    HEP05        4
        24       17        1       HE    HEP05        4
        19       17        2       HE    HEP05        3
        20       17        1       HE    HEP05        3
        21       17        2       HE    HEP05        3
        19       17        1       HE    HEP05        3
        20       17        2       HE    HEP05        3
        21       17        1       HE    HEP05        3
        19       18        2       HE    HEP05        4
        20       18        1       HE    HEP05        4
        22       17        2       HE    HEP05        4
        19       18        1       HE    HEP05        4
        20       18        2       HE    HEP05        4
        22       17        1       HE    HEP05        4
       -11       20        1       HB    HBM06        3
        -7       20        1       HB    HBM06        3
        -3       20        1       HB    HBM06        3
        -5       20        1       HB    HBM06        3
        -1       20        1       HB    HBM06        3
        -9       20        1       HB    HBM06        3
       -11       19        1       HB    HBM06        4
        -7       19        1       HB    HBM06        4
        -3       19        1       HB    HBM06        4
        -5       19        1       HB    HBM06        4
        -1       19        1       HB    HBM06        4
        -9       19        1       HB    HBM06        4
       -10       20        1       HB    HBM06        3
        -6       20        1       HB    HBM06        3
        -2       20        1       HB    HBM06        3
        -8       20        1       HB    HBM06        3
        -4       20        1       HB    HBM06        3
       -12       20        1       HB    HBM06        3
       -10       19        1       HB    HBM06        4
        -6       19        1       HB    HBM06        4
        -2       19        1       HB    HBM06        4
        -8       19        1       HB    HBM06        4
        -4       19        1       HB    HBM06        4
       -12       19        1       HB    HBM06        4
       -11       22        1       HB    HBM06        1
        -7       22        1       HB    HBM06        1
        -3       22        1       HB    HBM06        1
        -5       22        1       HB    HBM06        1
        -1       22        1       HB    HBM06        1
        -9       22        1       HB    HBM06        1
       -11       21        1       HB    HBM06        2
        -7       21        1       HB    HBM06        2
        -3       21        1       HB    HBM06        2
        -5       21        1       HB    HBM06        2
        -1       21        1       HB    HBM06        2
        -9       21        1       HB    HBM06        2
       -10       22        1       HB    HBM06        1
        -6       22        1       HB    HBM06        1
        -2       22        1       HB    HBM06        1
        -8       22        1       HB    HBM06        1
        -4       22        1       HB    HBM06        1
       -12       22        1       HB    HBM06        1
       -10       21        1       HB    HBM06        2
        -6       21        1       HB    HBM06        2
        -2       21        1       HB    HBM06        2
        -8       21        1       HB    HBM06        2
        -4       21        1       HB    HBM06        2
       -12       21        1       HB    HBM06        2
       -16       20        2       HB    HBM06        3
       -15       20        2       HB    HBM06        3
       -14       20        1       HB    HBM06        3
       -15       20        1       HB    HBM06        3
       -13       20        1       HB    HBM06        3
       -16       20        1       HB    HBM06        3
       -16       19        2       HB    HBM06        4
       -15       19        2       HB    HBM06        4
       -14       19        1       HB    HBM06        4
       -15       19        1       HB    HBM06        4
       -13       19        1       HB    HBM06        4
       -16       19        1       HB    HBM06        4
       -17       20        1       HE    HEM06        3
       -16       20        3       HE    HEM06        3
       -25       19        1       HE    HEM06        3
       -18       20        1       HE    HEM06        3
       -18       20        2       HE    HEM06        3
       -25       19        2       HE    HEM06        3
       -17       19        1       HE    HEM06        4
       -16       19        3       HE    HEM06        4
       -26       19        1       HE    HEM06        4
       -18       19        1       HE    HEM06        4
       -18       19        2       HE    HEM06        4
       -26       19        2       HE    HEM06        4
       -16       22        2       HB    HBM06        1
       -15       22        2       HB    HBM06        1
       -14       22        1       HB    HBM06        1
       -15       22        1       HB    HBM06        1
       -13       22        1       HB    HBM06        1
       -16       22        1       HB    HBM06        1
       -16       21        2       HB    HBM06        2
       -15       21        2       HB    HBM06        2
       -14       21        1       HB    HBM06        2
       -15       21        1       HB    HBM06        2
       -13       21        1       HB    HBM06        2
       -16       21        1       HB    HBM06        2
       -17       22        1       HE    HEM06        1
       -16       22        3       HE    HEM06        1
       -26       21        1       HE    HEM06        1
       -18       22        1       HE    HEM06        1
       -18       22        2       HE    HEM06        1
       -26       21        2       HE    HEM06        1
       -17       21        1       HE    HEM06        2
       -16       21        3       HE    HEM06        2
       -25       21        1       HE    HEM06        2
       -18       21        1       HE    HEM06        2
       -18       21        2       HE    HEM06        2
       -25       21        2       HE    HEM06        2
       -27       19        1       HE    HEM06        3
       -27       19        2       HE    HEM06        3
       -29       19        2       HE    HEM06        3
       -27       19        3       HE    HEM06        3
       -23       19        2       HE    HEM06        3
       -23       19        1       HE    HEM06        3
       -28       19        1       HE    HEM06        4
       -28       19        2       HE    HEM06        4
       -29       19        1       HE    HEM06        4
       -28       19        3       HE    HEM06        4
       -24       19        2       HE    HEM06        4
       -24       19        1       HE    HEM06        4
       -19       20        2       HE    HEM06        3
       -20       20        1       HE    HEM06        3
       -21       19        2       HE    HEM06        3
       -19       20        1       HE    HEM06        3
       -20       20        2       HE    HEM06        3
       -21       19        1       HE    HEM06        3
       -19       19        2       HE    HEM06        4
       -20       19        1       HE    HEM06        4
       -22       19        2       HE    HEM06        4
       -19       19        1       HE    HEM06        4
       -20       19        2       HE    HEM06        4
       -22       19        1       HE    HEM06        4
       -28       21        1       HE    HEM06        1
       -28       21        2       HE    HEM06        1
       -29       21        1       HE    HEM06        1
       -28       21        3       HE    HEM06        1
       -24       21        2       HE    HEM06        1
       -24       21        1       HE    HEM06        1
       -27       21        1       HE    HEM06        2
       -27       21        2       HE    HEM06        2
       -29       21        2       HE    HEM06        2
       -27       21        3       HE    HEM06        2
       -23       21        2       HE    HEM06        2
       -23       21        1       HE    HEM06        2
       -19       22        2       HE    HEM06        1
       -20       22        1       HE    HEM06        1
       -22       21        2       HE    HEM06        1
       -19       22        1       HE    HEM06        1
       -20       22        2       HE    HEM06        1
       -22       21        1       HE    HEM06        1
       -19       21        2       HE    HEM06        2
       -20       21        1       HE    HEM06        2
       -21       21        2       HE    HEM06        2
       -19       21        1       HE    HEM06        2
       -20       21        2       HE    HEM06        2
       -21       21        1       HE    HEM06        2
       -11       24        1       HB    HBM07        3
        -7       24        1       HB    HBM07        3
        -3       24        1       HB    HBM07        3
        -5       24        1       HB    HBM07        3
        -1       24        1       HB    HBM07        3
        -9       24        1       HB    HBM07        3
       -11       23        1       HB    HBM07        4
        -7       23        1       HB    HBM07        4
        -3       23        1       HB    HBM07        4
        -5       23        1       HB    HBM07        4
        -1       23        1       HB    HBM07        4
        -9       23        1       HB    HBM07        4
       -10       24        1       HB    HBM07        3
        -6       24        1       HB    HBM07        3
        -2       24        1       HB    HBM07        3
        -8       24        1       HB    HBM07        3
        -4       24        1       HB    HBM07        3
       -12       24        1       HB    HBM07        3
       -10       23        1       HB    HBM07        4
        -6       23        1       HB    HBM07        4
        -2       23        1       HB    HBM07        4
        -8       23        1       HB    HBM07        4
