# crate slot s/n channel 4 x offsets capID0 4 x offsets capID1 4 x offsets capID2 4 x offsets capID3 4 x slopes capID0 4 x slopes capID1 4 x slopes capID2 4 x slopes capID3
4 5 615 6 0.341387 0.803484 24.471298 -435.508481 0.387211 -0.036597 2.980604 -552.485341 0.203717 -0.797334 19.691606 -664.380140 0.138132 -2.022660 30.032992 -541.305610 0.306006 0.308417 0.309474 0.320340 0.305281 0.307476 0.308453 0.320607 0.304882 0.307930 0.307664 0.319716 0.304827 0.307433 0.307261 0.319956 
4 5 615 7 0.592075 -6.068645 -18.635926 -652.904244 0.551934 -1.873582 7.905436 -652.789804 0.535727 -4.207395 -0.996349 -489.038412 0.529215 -4.372902 -23.833554 -703.355140 0.300280 0.297550 0.299965 0.310806 0.300203 0.297449 0.298941 0.312662 0.299168 0.296536 0.298768 0.310742 0.298572 0.296902 0.298393 0.310924 
4 5 615 8 0.246026 -0.986555 13.500222 -600.734671 0.236408 -5.128491 10.807852 -389.971271 0.180729 -1.681634 5.766575 -296.149682 0.279482 -5.861115 -1.580874 -543.291039 0.299549 0.302103 0.301407 0.315575 0.299554 0.301006 0.300785 0.313586 0.298173 0.300404 0.300140 0.313146 0.298323 0.300749 0.299730 0.314669 
4 5 615 9 0.456330 1.883425 -1.332493 -335.655393 0.150189 -0.344165 -2.837250 -432.469310 0.457965 0.949023 28.266583 -291.104415 0.460179 -1.346352 21.325971 -267.084150 0.300217 0.300469 0.296610 0.309230 0.300076 0.299609 0.296173 0.308559 0.299272 0.299413 0.295902 0.307834 0.298828 0.299139 0.295523 0.306678 
4 5 615 10 0.176217 -6.082602 -19.903924 -755.583757 0.400541 -2.907541 -20.092031 -758.591334 0.407232 -6.372686 -2.046776 -710.043785 0.213893 -4.953328 -6.817132 -464.378082 0.302724 0.299900 0.299606 0.314819 0.302222 0.299550 0.299387 0.314752 0.300717 0.299058 0.298741 0.313592 0.301656 0.298584 0.298827 0.311371 
4 5 615 11 0.477530 -0.374027 -8.702883 -592.550809 0.400488 4.182841 21.034150 -425.173705 0.341197 -2.966910 4.898694 -710.830159 0.431108 -0.603081 25.622870 -571.659702 0.297960 0.298231 0.302906 0.314724 0.297337 0.297589 0.301861 0.313876 0.296705 0.297801 0.301838 0.314619 0.297363 0.297091 0.301509 0.314920 
4 5 615 12 0.568439 -3.069427 4.226055 -416.020113 0.182124 0.154836 4.006827 -326.188055 0.172427 -0.789746 3.457508 -483.885480 0.583873 -2.094960 5.029881 -474.629567 0.300097 0.302395 0.295687 0.313146 0.299258 0.301511 0.295435 0.312579 0.299378 0.301340 0.295459 0.312071 0.298968 0.301049 0.295111 0.311015 
4 5 615 13 0.029676 -5.495492 -16.060940 -575.010993 0.232685 -4.918293 -10.081705 -665.931776 0.247719 -6.861297 -9.344701 -565.432197 0.185228 -8.884784 -6.636295 -624.987674 0.310202 0.307708 0.307608 0.313996 0.305947 0.307172 0.307154 0.314610 0.305677 0.307496 0.307406 0.313426 0.309069 0.306369 0.306118 0.313340 
4 5 615 14 0.379208 3.281388 26.804279 -477.158597 0.085315 2.632345 9.400127 -316.309783 0.557004 2.749172 30.559029 -413.186925 0.350123 -1.057757 29.258086 -402.751922 0.303364 0.306518 0.304523 0.318544 0.303444 0.305934 0.303873 0.317069 0.305660 0.305736 0.303811 0.316661 0.303205 0.305931 0.303107 0.316215 
4 5 615 15 -0.451539 -6.222023 -22.957057 -566.807922 -0.401792 -2.140539 -14.224484 -588.665107 -0.396654 -0.350082 -18.249730 -788.310250 -0.385152 -1.329296 -7.548011 -562.167595 0.306488 0.309766 0.311538 0.317149 0.305634 0.308832 0.311020 0.316780 0.305170 0.308195 0.311071 0.318949 0.305673 0.308545 0.310577 0.316515 
4 5 615 16 -0.591829 -5.245412 -5.953212 -517.588702 -0.513108 -4.280269 -7.086997 -317.650711 -0.463001 -1.054808 -0.356958 -521.815791 -0.720077 -1.965623 -17.999330 -449.970650 0.306099 0.307298 0.306532 0.321386 0.305981 0.306852 0.305735 0.321575 0.305512 0.306811 0.305582 0.321441 0.305438 0.305982 0.305405 0.322161 
4 5 615 17 0.379563 2.618999 4.734882 -446.564998 0.081568 4.574954 9.664742 -364.418861 0.357738 1.377713 27.367977 -510.046325 0.082285 5.681217 -7.458589 -443.731981 0.307990 0.311795 0.311398 0.314965 0.307152 0.311671 0.311173 0.314820 0.306435 0.311357 0.310338 0.314350 0.307825 0.310858 0.310942 0.314035 
4 5 615 18 0.030835 -4.839426 -15.338224 -515.121300 -0.156914 -7.229826 -12.139755 -521.893600 0.904394 0.228342 -0.891371 -416.792707 0.139963 -2.894983 -2.930694 -303.760953 0.307612 0.305922 0.310263 0.318519 0.306930 0.305443 0.309708 0.320095 0.307142 0.304685 0.309373 0.319040 0.306987 0.304863 0.308116 0.317592 
