# crate slot s/n channel 4 x offsets capID0 4 x offsets capID1 4 x offsets capID2 4 x offsets capID3 4 x slopes capID0 4 x slopes capID1 4 x slopes capID2 4 x slopes capID3
4 4 500633 14 0.307884 2.066280 9.077772 -501.508374 0.188854 1.377922 16.383183 -491.653493 -0.117023 0.924609 14.658971 -408.646248 -0.085093 -2.749193 13.665174 -581.297079 0.306551 0.306524 0.309634 0.320796 0.305915 0.305194 0.308855 0.320714 0.305257 0.305137 0.309035 0.320539 0.304887 0.305582 0.307659 0.319119 
4 4 500633 15 -0.018202 4.030369 39.148308 60.955277 0.232955 5.867374 40.048329 138.242703 0.407054 3.869375 44.577889 77.873715 0.365960 4.693083 46.903497 -20.044254 0.314878 0.319548 0.319669 0.322454 0.313656 0.319020 0.318537 0.319952 0.313307 0.317817 0.318282 0.319438 0.312932 0.319398 0.319005 0.324912 
4 4 500633 16 -0.232699 5.440241 46.992666 -389.294876 0.104831 7.684934 66.781931 -347.971515 0.112936 6.242043 72.440284 -92.716721 0.169071 6.924503 69.304886 -334.719746 0.312873 0.318510 0.320712 0.322766 0.311269 0.317826 0.319750 0.325243 0.311299 0.318130 0.319659 0.323045 0.310943 0.318308 0.319658 0.323545 
4 4 500633 17 0.339199 2.979564 33.041486 -150.297975 0.362069 2.892543 25.884969 39.377571 0.228520 5.664780 35.759388 -23.226213 0.396883 3.904156 41.713216 -96.690372 0.312723 0.315625 0.313980 0.323793 0.312072 0.315121 0.313664 0.319335 0.311406 0.313934 0.312751 0.320522 0.311362 0.313758 0.312840 0.319419 
4 4 500633 18 0.064442 -0.740075 49.354455 -405.507800 0.500291 1.464320 33.618698 -465.862558 0.412184 -1.287366 4.645946 -448.339669 0.076234 -3.515046 -9.061868 -547.129482 0.307449 0.306299 0.311187 0.317752 0.306796 0.306365 0.311657 0.320226 0.305290 0.305449 0.311815 0.319956 0.305355 0.305285 0.310837 0.319089 
4 4 500633 19 0.259924 2.371444 55.052181 -223.694125 -0.406219 -0.191510 64.861901 -249.194340 -0.423767 1.958205 29.843228 -311.667462 -0.089427 -0.067933 30.755958 -145.109572 0.307251 0.309831 0.309184 0.314219 0.307586 0.309633 0.308352 0.313752 0.306937 0.309022 0.309177 0.314016 0.306917 0.309171 0.309239 0.310395 
4 4 500633 20 0.463570 2.030417 29.458255 -494.974445 0.116262 1.327195 1.763954 -633.467313 0.188173 1.432459 3.190589 -534.166104 0.129906 1.532896 8.893767 -357.865215 0.304551 0.307740 0.309265 0.316775 0.303925 0.307094 0.309850 0.316193 0.303075 0.306398 0.309765 0.311720 0.302843 0.306376 0.309645 0.313815 
4 4 500633 21 -0.207163 6.723229 59.542137 -148.984233 -0.380218 7.012905 58.666134 -221.015564 0.104169 5.149370 41.840115 -193.537137 -0.286105 4.521670 24.663500 -344.901175 0.304741 0.308937 0.307257 0.313267 0.304568 0.308452 0.307122 0.313148 0.303424 0.308694 0.307501 0.311000 0.303748 0.308596 0.306346 0.312659 
4 4 500633 22 0.137970 -1.467057 10.673986 -522.497573 0.023871 3.610995 19.405974 -384.885647 -0.008988 2.517905 8.044527 -633.305715 0.105155 1.437480 8.942915 -651.717475 0.302894 0.308165 0.308898 0.315984 0.302486 0.307344 0.308857 0.314076 0.302501 0.306828 0.308587 0.317025 0.302149 0.306603 0.308264 0.316348 
4 4 500633 23 0.109828 1.320816 33.049649 150.808675 0.109646 0.315642 33.468651 208.200665 0.011875 4.717297 47.984550 204.855315 -0.101102 0.159666 45.654319 35.025736 0.305914 0.310703 0.313566 0.313262 0.304830 0.310395 0.313493 0.314061 0.303988 0.309842 0.311626 0.312203 0.303845 0.310184 0.311777 0.312979 
4 4 500633 24 0.079450 3.524488 9.041118 -53.383535 0.476556 3.843149 83.709913 -90.259776 -0.096140 5.061840 53.560519 34.881210 0.146140 4.954914 20.022173 298.414791 0.303691 0.309355 0.309731 0.308446 0.302189 0.308018 0.307564 0.311940 0.303784 0.308555 0.308227 0.308578 0.302322 0.307223 0.308787 0.307159 
4 5 500697 1 0.307181 -0.872539 10.842302 -781.219021 0.369234 -0.632882 8.184434 -751.179938 0.367927 1.136618 -10.843144 -879.769922 0.595784 -0.102281 5.714722 -683.054504 0.304477 0.308773 0.309380 0.313311 0.303918 0.308701 0.309395 0.312713 0.302783 0.307480 0.309684 0.313334 0.302500 0.307283 0.309180 0.311231 
4 5 500697 2 0.386416 -1.854489 4.072883 -752.701786 0.446590 0.502569 11.397828 -675.657039 0.248979 -0.738171 12.900157 -465.490316 0.430104 1.577287 7.991449 -462.167675 0.306358 0.308926 0.315573 0.319241 0.306060 0.308357 0.314675 0.318054 0.305709 0.307416 0.314924 0.315192 0.305593 0.307814 0.314614 0.316410 
4 5 500697 3 0.595926 2.222633 34.235996 177.013268 0.578993 4.309142 37.540144 -112.825529 0.513224 5.112058 54.356599 -7.335503 0.239616 5.572516 41.222348 -114.726295 0.309976 0.314259 0.312590 0.320506 0.308376 0.313783 0.311775 0.323112 0.308404 0.312333 0.311261 0.321832 0.308442 0.312902 0.311730 0.323429 
4 5 500697 4 0.164171 1.891018 4.324933 -355.845794 -0.007076 1.965032 6.506139 -368.386447 -0.163435 -3.113781 0.053932 -561.931841 0.119901 -0.142759 18.285042 -526.320576 0.303576 0.307400 0.310048 0.309490 0.303848 0.306759 0.309555 0.308970 0.303244 0.307112 0.310046 0.309800 0.303059 0.306779 0.308912 0.310572 
4 5 500697 5 0.645380 1.834615 -28.135168 -403.913143 -0.141345 3.633294 -21.280127 -551.804127 0.178998 1.263738 3.111098 -150.946844 0.149003 0.270048 -11.136354 -459.277341 0.305878 0.310820 0.312822 0.315617 0.306489 0.310691 0.312644 0.319321 0.305218 0.310556 0.311126 0.313945 0.305270 0.310801 0.311165 0.316124 
